,end_hour,subscriber,customer,total,pct
1,0:00,14395,7011,21406,0.009157467
2,1:00,8511,5494,14005,0.005991326
3,2:00,5427,4114,9541,0.004081631
4,3:00,2322,1486,3808,0.001629059
5,4:00,2056,810,2866,0.001226072
6,5:00,9713,1313,11026,0.004716913
7,6:00,33075,2827,35902,0.015358842
8,7:00,91780,6891,98671,0.042211362
9,8:00,187834,14585,202419,0.08659466
10,9:00,131449,14805,146254,0.062567325
11,10:00,75408,17047,92455,0.039552163
12,11:00,74039,23861,97900,0.041881529
13,12:00,87773,31772,119545,0.05114124
14,13:00,86535,36065,122600,0.052448166
15,14:00,82002,38297,120299,0.0514638
16,15:00,93827,41883,135710,0.058056612
17,16:00,141489,44266,185755,0.079465816
18,17:00,212978,51034,264012,0.112944088
19,18:00,172193,45723,217916,0.093224262
20,19:00,120605,35263,155868,0.066680185
21,20:00,82934,25059,107993,0.046199305
22,21:00,59980,17810,77790,0.033278489
23,22:00,41648,14239,55887,0.023908407
24,23:00,26278,11640,37918,0.016221285